ticker,company_name,exchange,market_cap,market_cap_category,sector,industry,sic,sic_description,cik,website,ir_url,data_quality_score,data_source,shares_outstanding,last_price,isin,cusip,country,currency
VIR,"Vir Biotechnology, Inc.",NASDAQ,1269607229.8,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001706431,,,60,sec_fallback,139517278.0,9.1,,,US,USD
PLSE,"PULSE BIOSCIENCES, INC.",NASDAQ,1263237069.2399998,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001625101,,,60,sec_fallback,67989078.0,18.58,,,US,USD
ALVO,Alvotech,NASDAQ,1255511616.32,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001898416,,,60,sec_fallback,301805677.0,4.16,,,US,USD
SEPN,"Septerna, Inc.",NASDAQ,1229947054.24,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001984086,,,60,sec_fallback,44774192.0,27.47,,,US,USD
TSHA,"Taysha Gene Therapies, Inc.",NASDAQ,1229897984.77,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001806310,,,60,sec_fallback,273919373.0,4.49,,,US,USD
CRVS,"Corvus Pharmaceuticals, Inc.",NASDAQ,1199390864.32,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001626971,,,60,sec_fallback,74681872.0,16.06,,,US,USD
PGEN,"PRECIGEN, INC.",NASDAQ,1192388561.63,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001356090,,,60,sec_fallback,353824499.0,3.37,,,US,USD
COLL,"COLLEGIUM PHARMACEUTICAL, INC",NASDAQ,1183759706.08,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001267565,,,60,sec_fallback,31753211.0,37.28,,,US,USD
CAPR,"CAPRICOR THERAPEUTICS, INC.",NASDAQ,1180451024.5,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001133869,,,60,sec_fallback,45718475.0,25.82,,,US,USD
GLUE,"Monte Rosa Therapeutics, Inc.",NASDAQ,1168863809.95,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001826457,,,60,sec_fallback,65117761.0,17.95,,,US,USD
ASRT,"Assertio Holdings, Inc.",NASDAQ,1150212439.6499999,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001808665,,,60,sec_fallback,96252087.0,11.95,,,US,USD
ACET,"Adicet Bio, Inc.",NASDAQ,1143286634.26,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001720580,,,60,sec_fallback,153255581.0,7.46,,,US,USD
